name,calories,protein,fat,carbs,fiber,sugar,p_ratio,f_ratio,c_ratio,type_any,type_breakfast,type_lunch/dinner,type_snack
salsa con queso,0.058910646700674675,0.014099589505621991,0.043217722898129654,0.07150179395181959,0.023529411764705882,0.016809605488850774,0.1325503355704698,0.39932885906040266,0.4681208053691275,True,False,False,False
cocktail sauce,0.003126542701991114,0.0003569516330537213,0.0003631741420010895,0.010763710917478218,0.00392156862745098,0.0061749571183533445,0.043478260869565216,0.043478260869565216,0.9130434782608695,False,False,False,True
worcestershire sauce,0.002139213427678131,0.0,0.0,0.008457201435161456,0.0,0.005831903945111492,0.0,0.0,1.0,False,False,False,True
barbecue sauce,0.004772091492512753,0.00017847581652686065,0.00018158707100054475,0.0176832393644285,0.0026143790849673205,0.01955403087478559,0.014084507042253521,0.014084507042253521,0.9718309859154929,False,False,False,True
tomato sauce with onions,0.01694915254237288,0.0067820810280207035,0.0009079353550027237,0.06253203485392107,0.05751633986928105,0.0,0.13240418118466898,0.017421602787456445,0.8501742160278746,False,True,False,False
brown gravy dry,0.0036202073391476057,0.0010708548991611637,0.0010895224260032684,0.009226037929267043,0.0013071895424836603,0.0,0.125,0.125,0.75,False,False,False,True
blue cheese dressing light,0.0023037683067302947,0.0005354274495805819,0.000726348284002179,0.005381855458739109,0.0,0.002058319039451115,0.10714285714285715,0.14285714285714288,0.7500000000000001,False,False,False,True
spanish tomato sauce,0.013328945203225277,0.006246653578440122,0.0012711094970038132,0.04536135315222963,0.044444444444444446,0.0,0.15981735159817353,0.0319634703196347,0.8082191780821918,False,False,False,True
oyster sauce,0.001480993911469475,0.0003569516330537213,0.00011984746686035954,0.00512557662737058,0.00031372549019607844,0.0,0.088261253309797,0.02912621359223301,0.8826125330979699,False,False,False,True
cheese sauce,0.004936646371564917,0.0026771372479029096,0.003994915562011985,0.002050230650948232,0.0009281045751633986,0.00011320754716981132,0.3333333333333333,0.48888888888888893,0.17777777777777778,False,False,False,True
hoisin sauce,0.005759420766825737,0.0008923790826343032,0.0009079353550027237,0.018195797027165558,0.005228758169934641,0.015094339622641511,0.0617283950617284,0.0617283950617284,0.8765432098765432,False,False,False,True
pickle relish,0.003291097581043278,0.00017312154203105482,0.00011076811331033229,0.013582778062532035,0.0026143790849673205,0.015094339622641511,0.017772077684133383,0.011176255038475632,0.9710516672773909,False,False,False,True
